SERPINE1	PTGS2
SERPINE1	VWF
SERPINE1	CCN2
SERPINE1	F2
SERPINE1	THBD
SERPINE1	SMAD3
SERPINE1	IL6
SERPINE1	SMAD4
SERPINE1	MMP3
SERPINE1	PROC
SERPINE1	PLG
MPO	BRAF
MPO	FASLG
MPO	IL1RN
MPO	JAK2
MPO	IL1F10
MPO	THBD
MPO	IL33
MPO	DAO
MPO	HIF1A
MPO	NOX4
MPO	ALOX5
MPO	ADAMTS13
MPO	RUNX3
MPO	TP53
MPO	PLG
MPO	PPARG
MPO	ESR1
MPO	IL13
MPO	IL2
MPO	CXCR1
MPO	NFKB1
MPO	F2
MPO	NOS3
MPO	NLRP3
MPO	AKT1
MPO	MMP12
MPO	FLT3
MPO	SPI1
MPO	VWF
MPO	TNFRSF8
MPO	CD38
MPO	BCL2
MPO	MMP1
MPO	IL4
MPO	CD5
MPO	MMP3
MPO	APOE
MPO	PTGS2
MPO	XDH
MPO	SELP
MPO	SELE
MPO	SERPINA1
MPO	CRP
MPO	IL6
MPO	ALB
MPO	MMP9
MPO	ELANE
HSD17B1	H6PD
HSD17B1	EGFR
HSD17B1	HSD11B2
HSD17B1	SHBG
HSD17B1	CYP1A2
HSD17B1	AR
HSD17B1	HMGCR
HSD17B1	ESR1
HSD17B1	ESR2
HSD17B1	HSD11B1
HSD17B1	UGT1A1
HSD17B1	CYP3A4
HSD17B1	CYP1A1
HSD17B1	CYP1B1
HSD17B1	CYP19A1
CD38	CALCRL
CD38	SPI1
CD38	NAPRT
CD38	JAK3
CD38	PARP1
CD38	MCL1
CD38	IL6R
CD38	IL13
CD38	CD93
CD38	NFKB1
CD38	EGR2
CD38	SYK
CD38	DPP4
CD38	JAK2
CD38	FASLG
CD38	IKZF1
CD38	CRP
CD38	IL2RA
CD38	LAMP1
CD38	ALB
CD38	BACH2
CD38	FOLH1
CD38	TNFRSF14
CD38	BTK
CD38	IL4
CD38	SELE
CD38	CD247
CD38	MS4A1
CD38	TNFRSF8
CD38	SELP
CD38	AKT1
CD38	FLT3
CD38	CD6
CD38	IL2
CD38	BCL6
CD38	MYC
CD38	IL7R
CD38	BCL2
CD38	THPO
CD38	TP53
CD38	IL6
CD38	CD5
CD38	PRKG1
CD38	PRKCA
CD38	SIRT6
CD38	ENPP1
NFKB1	SFPQ
NFKB1	EGR2
NFKB1	ABCG2
NFKB1	DPP4
NFKB1	PLG
NFKB1	NCOA6
NFKB1	ALDH1A1
NFKB1	MAP1LC3A
NFKB1	HMGCR
NFKB1	SIRT6
NFKB1	HDAC6
NFKB1	IDH1
NFKB1	PTPN1
NFKB1	SMAD7
NFKB1	ELANE
NFKB1	EDA2R
NFKB1	PTGS1
NFKB1	AXL
NFKB1	TERT
NFKB1	CXCR1
NFKB1	ABCB1
NFKB1	IQSEC1
NFKB1	XDH
NFKB1	IL7R
NFKB1	ROBO1
NFKB1	PTGER4
NFKB1	ELAVL1
NFKB1	ESR2
NFKB1	SELP
NFKB1	ALOX5
NFKB1	MET
NFKB1	SLC2A1
NFKB1	CCN2
NFKB1	KDR
NFKB1	PKM
NFKB1	IKZF1
NFKB1	PLCG2
NFKB1	AR
NFKB1	JAK3
NFKB1	MT-ND2
NFKB1	FOXA2
NFKB1	MMP13
NFKB1	NOX4
NFKB1	IL6R
NFKB1	BACE1
NFKB1	IL37
NFKB1	RCOR1
NFKB1	IGF1R
NFKB1	PTK2
NFKB1	MTHFR
NFKB1	ZBTB16
NFKB1	CDK2
NFKB1	NOS3
NFKB1	ANK3
NFKB1	VWF
NFKB1	PSMB5
NFKB1	SMAD4
NFKB1	ANAPC1
NFKB1	CDK1
NFKB1	SPHK1
NFKB1	APOE
NFKB1	PSMC3
NFKB1	TUBB
NFKB1	NR4A2
NFKB1	PPARA
NFKB1	IL13
