gene,max_assoc_score,top_disease
CLEC2D,0.03235,thrombophilia
NOS2,0.03232,thrombophilia
GLMP,0.03231,thrombophilia
GPC3,0.03223,thrombophilia
DEPDC7,0.03223,venous thromboembolism
UBE3B,0.0322,thrombophilia
DTNBP1,0.0322,thrombophilia
SLIT3,0.03218,thrombophilia
FREY1,0.03218,thrombophilia
FGL2,0.03217,thrombophilia
RNF10,0.03215,thrombophilia
CSNK2A2IP,0.03213,venous thromboembolism
BCL2L15,0.03212,thrombophilia
MYSM1,0.03209,thrombophilia
ZIC2,0.03206,thrombophilia
THRB,0.03204,thrombophilia
ARHGEF4,0.03203,thrombophilia
ARFRP1,0.03203,deep vein thrombosis
CLN3,0.03202,thrombophilia
SOAT1,0.032,deep vein thrombosis
DBN1,0.03198,thrombophilia
VAMP4,0.03197,thrombophilia
TP73,0.03196,thrombophilia
DNAAF3,0.03195,thrombophilia
NOC3L,0.03193,venous thromboembolism
ACTN4,0.03192,thrombophilia
HPS1,0.03192,thrombophilia
BAIAP2L2,0.03191,thrombophilia
ERICH3,0.03191,thrombophilia
SLC5A2,0.03189,thrombophilia
ADD1,0.03189,thrombophilia
MMP10,0.03187,thrombophilia
JARID2,0.03187,thrombophilia
POU2AF3,0.03186,thrombophilia
UPK2,0.03186,thrombophilia
MPI,0.03183,deep vein thrombosis
NRP1,0.03182,thrombophilia
SLC20A1,0.03181,thrombophilia
TAL1,0.0318,thrombophilia
SRSF11,0.03178,deep vein thrombosis
GRSF1,0.03178,thrombophilia
ESR1,0.03178,deep vein thrombosis
PITX3,0.03178,thrombophilia
GPRC5A,0.03175,thrombophilia
ITGA7,0.03173,thrombophilia
TMEM218,0.03173,thrombophilia
LARGE1,0.03172,thrombophilia
ARID2,0.03172,thrombophilia
BPGM,0.03172,thrombophilia
ABCC12,0.03172,thrombophilia
WDR45,0.0317,thrombophilia
BTBD18,0.03169,thrombophilia
APLF,0.03167,venous thromboembolism
ACSL5,0.03165,thrombophilia
SCYGR8,0.03163,deep vein thrombosis
KIFBP,0.03161,thrombophilia
CCM2,0.03153,thrombophilia
LMF1,0.03152,thrombophilia
PRDX2,0.03151,thrombophilia
SLC14A1,0.0315,thrombophilia
HSPG2,0.03149,thrombophilia
EPHB4,0.03147,thrombophilia
HEG1,0.03147,thrombophilia
CUL9,0.03145,thrombophilia
SLC13A1,0.03142,thrombophilia
ASAH1,0.03138,thrombophilia
TNS2,0.03136,thrombophilia
MAP3K14,0.03134,deep vein thrombosis
OR8J3,0.03131,venous thromboembolism
CLEC10A,0.03128,thrombophilia
APBB1IP,0.03128,thrombophilia
SPACA7,0.03128,thrombophilia
GALK2,0.03127,thrombophilia
BSND,0.03126,thrombophilia
RDX,0.03124,thrombophilia
BAG6,0.03119,thrombophilia
ANKRA2,0.03117,venous thromboembolism
EGLN2,0.03116,venous thromboembolism
SGMS1,0.03116,thrombophilia
CARM1,0.03113,thrombophilia
EGR1,0.03111,thrombophilia
CYP2C23P,0.03111,thrombophilia
GDNF,0.0311,thrombophilia
PDGFA,0.03108,thrombophilia
MMAA,0.03108,thrombophilia
DUOX2,0.03108,thrombophilia
ADCY9,0.03107,thrombophilia
APOC4,0.03107,venous thromboembolism
EPB42,0.03106,thrombophilia
IRAG1,0.03105,thrombophilia
PPP1R15A,0.03105,thrombophilia
SIRT2,0.03104,deep vein thrombosis
ATF2,0.03101,thrombophilia
FBN2,0.03099,thrombophilia
RRAGC,0.03096,thrombophilia
TULP3,0.03096,thrombophilia
NR2F2,0.03096,thrombophilia
COX14,0.03092,thrombophilia
ABCB11,0.03091,thrombophilia
MAFB,0.0309,thrombophilia
MMP24OS,0.03087,pulmonary embolism
AQP11,0.03085,thrombophilia
STING1,0.03084,deep vein thrombosis
FOXM1,0.03083,thrombophilia
FAH,0.03079,thrombophilia
ARHGDIA,0.03076,thrombophilia
EPM2A,0.03076,thrombophilia
CHD2,0.03073,thrombophilia
APOC2,0.0307,venous thromboembolism
INVS,0.0307,thrombophilia
HBS1L,0.0307,thrombophilia
CX3CR1,0.03068,thrombophilia
MAST2,0.03067,thrombophilia
BRAP,0.03064,venous thromboembolism
EXOSC2,0.03064,thrombophilia
TBX18,0.03063,thrombophilia
TGFB2,0.03062,thrombophilia
SPTBN1,0.03059,thrombophilia
SCG5,0.03058,thrombophilia
MECP2,0.03056,thrombophilia
IL21,0.03052,deep vein thrombosis
FKRP,0.03052,thrombophilia
EFTUD2,0.03051,thrombophilia
ATP9B,0.03048,thrombophilia
PKLR,0.03048,thrombophilia
TSPAN32,0.03048,thrombophilia
CPTP,0.03047,pulmonary embolism
SH2B1,0.03045,venous thromboembolism
NCALD,0.03044,thrombophilia
BBS5,0.03042,thrombophilia
FMO3,0.0304,thrombophilia
SYNGR2,0.03039,thrombophilia
THRA,0.03038,thrombophilia
UBL7,0.03036,thrombophilia
MEGF8,0.03034,thrombophilia
SCN5A,0.03034,thrombophilia
LPA,0.03019,deep vein thrombosis
RNF19A,0.03015,deep vein thrombosis
RETN,0.03012,deep vein thrombosis
GAB2,0.03009,deep vein thrombosis
IL36B,0.03004,venous thromboembolism
ZNHIT3,0.02995,deep vein thrombosis
FOS,0.02991,deep vein thrombosis
ZC3H18,0.0299,pulmonary embolism
SDR42E1,0.02989,venous thromboembolism
SERPINH1,0.02983,deep vein thrombosis
NCOA4,0.02979,deep vein thrombosis
FBXO48,0.02963,venous thromboembolism
OR5J2,0.0296,pulmonary embolism
RAD50,0.02952,deep vein thrombosis
SH3BGR,0.02942,thrombophilia
SELPLG,0.02936,deep vein thrombosis
RASA2,0.02936,deep vein thrombosis
HBD,0.02932,pulmonary embolism
CXCR4,0.02928,deep vein thrombosis
ROMO1,0.02924,venous thromboembolism
OR5D18,0.0292,pulmonary embolism
PECAM1,0.02908,deep vein thrombosis
RNASEH1,0.02893,thrombophilia
ACSS2,0.02891,pulmonary embolism
NDUFB2,0.02883,venous thromboembolism
KMT5A,0.02878,venous thromboembolism
PCYOX1,0.02878,deep vein thrombosis
FABP3,0.02872,pulmonary embolism
ERBB4,0.02864,thrombophilia
KRAS,0.0286,deep vein thrombosis
ST3GAL4,0.02849,venous thromboembolism
EGFR,0.02846,deep vein thrombosis
NEK2,0.02842,deep vein thrombosis
LRCH1,0.02835,thrombophilia
DHODH,0.02832,venous thromboembolism
C2orf92,0.02823,thrombophilia
CNTLN,0.0282,venous thromboembolism
BCORL1,0.02817,deep vein thrombosis
KRTAP1-1,0.02815,deep vein thrombosis
IL1A,0.0281,thrombophilia
LIPG,0.02809,deep vein thrombosis
SLC22A25,0.02808,thrombophilia
ENGASE,0.02794,thrombophilia
S100B,0.02772,thrombophilia
ING5,0.02763,deep vein thrombosis
S100Z,0.02763,venous thromboembolism
CMC4,0.02759,deep vein thrombosis
OR2B11,0.02754,venous thromboembolism
POLQ,0.02749,venous thromboembolism
RAMP2,0.02735,deep vein thrombosis
DSCAM,0.02723,thrombophilia
ARLN,0.02708,pulmonary embolism
SNX31,0.02708,deep vein thrombosis
MARS2,0.02705,venous thromboembolism
FZD6,0.02703,thrombophilia
MRPL44,0.027,venous thromboembolism
VIP,0.02699,thrombophilia
MASP2,0.02698,thrombophilia
RIMBP3C,0.02695,deep vein thrombosis
ST6GALNAC5,0.02694,venous thromboembolism
LARGE2,0.02689,thrombophilia
TRPM7,0.02679,venous thromboembolism
ENSG00000288645,0.02679,venous thromboembolism
MTR,0.02649,deep vein thrombosis
CCR4,0.02642,deep vein thrombosis
APOB,0.02633,deep vein thrombosis
STAG1,0.02633,venous thromboembolism
IKZF4,0.02629,deep vein thrombosis
APC,0.02626,thrombophilia
RPL9,0.02624,deep vein thrombosis
PXYLP1,0.02617,deep vein thrombosis
C5AR1,0.02613,deep vein thrombosis
SALL4,0.02605,thrombophilia
TMEM116,0.02598,deep vein thrombosis
LRRC37A2,0.02596,venous thromboembolism
RPS7,0.02592,thrombophilia
TUFM,0.0259,venous thromboembolism
CDCA8,0.02587,deep vein thrombosis
KIF18A,0.02587,deep vein thrombosis
STIP1,0.02587,deep vein thrombosis
SFTPA1,0.0258,venous thromboembolism
RGS1,0.02579,venous thromboembolism
KRT222,0.02575,deep vein thrombosis
TNNI3,0.02569,deep vein thrombosis
STX18,0.02565,deep vein thrombosis
ATMIN,0.02563,thrombophilia
GTPBP4,0.02563,thrombophilia
MMP14,0.0255,deep vein thrombosis
ANXA5,0.02547,thrombophilia
OR8U1,0.02546,pulmonary embolism
EID3,0.02545,venous thromboembolism
TNFSF18,0.02542,deep vein thrombosis
TP53I13,0.02539,venous thromboembolism
DMXL1,0.02538,thrombophilia
CYLD,0.02537,deep vein thrombosis
WDR53,0.02537,deep vein thrombosis
KIDINS220,0.0253,deep vein thrombosis
ADI1,0.02524,thrombophilia
PBK,0.02521,venous thromboembolism
OR5W2,0.02518,venous thromboembolism
CD8A,0.02517,thrombophilia
MTRR,0.02513,deep vein thrombosis
XCL1,0.02508,thrombophilia
BCAS1,0.02507,deep vein thrombosis
CP,0.02499,thrombophilia
PLOD1,0.02498,deep vein thrombosis
CATSPER2,0.02491,venous thromboembolism
RAB3C,0.02489,thrombophilia
CELF3,0.02484,deep vein thrombosis
GPT,0.02484,deep vein thrombosis
CST3,0.02476,venous thromboembolism
SLC44A5,0.02466,thrombophilia
S100A9,0.02465,deep vein thrombosis
ICAM1,0.02456,deep vein thrombosis
RBL2,0.0244,venous thromboembolism
INHBC,0.02439,deep vein thrombosis
PABPN1L,0.02435,venous thromboembolism
FAM133B,0.02435,venous thromboembolism
HIF1A,0.02433,deep vein thrombosis
IGF1,0.0243,thrombophilia
CHI3L1,0.02427,venous thromboembolism
BCAR1,0.02426,venous thromboembolism
MPP1,0.02424,venous thromboembolism
WIF1,0.02416,venous thromboembolism
RTF1,0.02415,deep vein thrombosis
TDRKH,0.0241,deep vein thrombosis
CD46,0.02408,thrombophilia
S100A10,0.02401,deep vein thrombosis
MEIKIN,0.02399,venous thromboembolism
OR4S1,0.02388,thrombophilia
SCARB1,0.02387,deep vein thrombosis
SLC25A32,0.02386,thrombophilia
PLD1,0.02384,deep vein thrombosis
NR1D2,0.02373,deep vein thrombosis
SLC35C1,0.02366,thrombophilia
HLA-DRA,0.02365,deep vein thrombosis
GOSR2,0.02362,thrombophilia
FMO2,0.02353,venous thromboembolism
CD9,0.02353,pulmonary embolism
PRPS1L1,0.02349,venous thromboembolism
MBP,0.02345,thrombophilia
ZMYND11,0.02344,thrombophilia
NAB2,0.02344,deep vein thrombosis
C16orf78,0.02336,deep vein thrombosis
OR9G4,0.02327,deep vein thrombosis
ANKRD9,0.02325,venous thromboembolism
BTG3,0.02322,thrombophilia
ANKRD36B,0.0231,thrombophilia
PTPMT1,0.0231,deep vein thrombosis
GAS6,0.02299,venous thromboembolism
SNAI3,0.02298,pulmonary embolism
ALG10B,0.02297,venous thromboembolism
BRCA1,0.02295,thrombophilia
LCN2,0.02294,deep vein thrombosis
C1QTNF2,0.02293,deep vein thrombosis
NOTCH1,0.02291,deep vein thrombosis
C16orf46,0.02291,thrombophilia
SFTPA2,0.02291,thrombophilia
GH1,0.02289,thrombophilia
ATP6V1B2,0.02285,venous thromboembolism
ACSL6,0.02282,venous thromboembolism
MAP2K7,0.0228,pulmonary embolism
UQCC6,0.02279,venous thromboembolism
COG3,0.02266,thrombophilia
CD55,0.02256,thrombophilia
NUPR1,0.02253,deep vein thrombosis
FBXO7,0.02252,thrombophilia
IFT70A,0.02252,venous thromboembolism
PLA2R1,0.02251,thrombophilia
IPO9,0.02251,venous thromboembolism
AP5B1,0.02251,deep vein thrombosis
NRBF2,0.02243,venous thromboembolism
ASCC3,0.02231,thrombophilia
C4B,0.02231,deep vein thrombosis
SIRT3,0.02224,deep vein thrombosis
MMP19,0.02217,pulmonary embolism
C2CD4D,0.02213,deep vein thrombosis
OR8J2,0.02207,venous thromboembolism
FAM180B,0.02206,deep vein thrombosis
GCG,0.02199,deep vein thrombosis
CACNB2,0.02179,venous thromboembolism
UTP15,0.02167,venous thromboembolism
ADH1A,0.02162,venous thromboembolism
COASY,0.02162,deep vein thrombosis
ABCA9,0.02158,venous thromboembolism
RBM46,0.02155,venous thromboembolism
ALK,0.02153,deep vein thrombosis
MRPL10,0.02147,pulmonary embolism
ZFP36,0.02146,thrombophilia
MMP12,0.02144,pulmonary embolism
MSRB3,0.02107,venous thromboembolism
PIGA,0.02099,deep vein thrombosis
CEBPA,0.02098,deep vein thrombosis
SCNN1A,0.02094,venous thromboembolism
PCSK9,0.02083,deep vein thrombosis
CXCL12,0.02082,deep vein thrombosis
ATRNL1,0.02082,thrombophilia
FMO4,0.02075,thrombophilia
COLEC11,0.02075,thrombophilia
SOAT2,0.0207,deep vein thrombosis
ANKRD26,0.0207,thrombophilia
SELENOP,0.0207,thrombophilia
NTN5,0.02068,venous thromboembolism
MTCP1,0.02062,deep vein thrombosis
FLT3LG,0.02058,venous thromboembolism
NMT1,0.02058,deep vein thrombosis
NDUFB11,0.02051,venous thromboembolism
RGS21,0.0205,venous thromboembolism
NPIPB8,0.02045,venous thromboembolism
NRBP2,0.02041,venous thromboembolism
SERPINB11,0.0203,venous thromboembolism
SLC25A13,0.0202,thrombophilia
PTH,0.02017,thrombophilia
TRMU,0.02015,thrombophilia
PPBP,0.02014,deep vein thrombosis
CD163,0.0201,deep vein thrombosis
ANXA1,0.02009,deep vein thrombosis
KRTAP3-1,0.02006,thrombophilia
ASPG,0.02006,deep vein thrombosis
AAGAB,0.02001,deep vein thrombosis
PRG2,0.02,deep vein thrombosis
PIGW,0.01997,deep vein thrombosis
PPIB,0.01997,deep vein thrombosis
UQCRH,0.01996,venous thromboembolism
DSCR9,0.01996,thrombophilia
ENSG00000293584,0.01992,deep vein thrombosis
NAGLU,0.0199,deep vein thrombosis
PLCD3,0.01984,deep vein thrombosis
SCAND1,0.01977,venous thromboembolism
CEP250,0.01969,venous thromboembolism
RNASEK,0.01967,venous thromboembolism
LGALS3,0.01963,deep vein thrombosis
NCAM1,0.01959,deep vein thrombosis
FPR2,0.01946,deep vein thrombosis
ENO2,0.01946,deep vein thrombosis
FBXO45,0.01942,deep vein thrombosis
GIMAP8,0.01941,venous thromboembolism
IL9,0.0194,deep vein thrombosis
HSD17B3,0.01935,venous thromboembolism
LRRC3C,0.01933,deep vein thrombosis
SLC25A15,0.01932,deep vein thrombosis
PDZD2,0.0193,venous thromboembolism
ZGPAT,0.0193,deep vein thrombosis
SLC30A9,0.0193,thrombophilia
TPT1,0.01929,thrombophilia
CYP2C9,0.01929,deep vein thrombosis
MLN,0.01927,deep vein thrombosis
SOCS1,0.01922,deep vein thrombosis
MFSD2B,0.01922,deep vein thrombosis
FGF21,0.01922,deep vein thrombosis
SSB,0.01922,venous thromboembolism
IRF9,0.01922,thrombophilia
XRCC1,0.01922,thrombophilia
GTSE1,0.01921,thrombophilia
LRRC37A,0.01917,venous thromboembolism
ODAD2,0.01914,venous thromboembolism
PKN3,0.01913,deep vein thrombosis
PHOX2B,0.01902,thrombophilia
TMBIM4,0.01895,deep vein thrombosis
HLA-B,0.01893,deep vein thrombosis
CFTR,0.01886,thrombophilia
B3GNT4,0.01885,deep vein thrombosis
CREB1,0.01885,deep vein thrombosis
GFM1,0.01885,thrombotic disease
NEXN,0.01883,venous thromboembolism
HSD17B2,0.01883,venous thromboembolism
MBL2,0.01881,deep vein thrombosis
PSMC3IP,0.01878,deep vein thrombosis
WNT3,0.01877,thrombophilia
EIF5AL1,0.01876,thrombophilia
PHF5A,0.01874,deep vein thrombosis
ZNF367,0.01869,venous thromboembolism
RAMP3,0.01868,thrombophilia
ZNF704,0.01868,deep vein thrombosis
TTC33,0.01867,deep vein thrombosis
KRTAP7-1,0.01865,thrombophilia
FTO,0.01864,deep vein thrombosis
ALDH2,0.01862,venous thromboembolism
MIGA1,0.01855,venous thromboembolism
DCAF13,0.01854,thrombophilia
TUBG2,0.01853,deep vein thrombosis
TTC38,0.01852,thrombophilia
SCAP,0.01848,thrombotic disease
PRX,0.01848,thrombophilia
PRB2,0.01838,deep vein thrombosis
TYMP,0.01837,deep vein thrombosis
SRF,0.01826,deep vein thrombosis
CYP2C19,0.01818,deep vein thrombosis
VTN,0.01817,deep vein thrombosis
OLR1,0.01799,deep vein thrombosis
C5,0.01797,deep vein thrombosis
TNNT2,0.01787,deep vein thrombosis
HGF,0.01777,deep vein thrombosis
NCF1,0.01774,deep vein thrombosis
KLF11,0.01763,deep vein thrombosis
PLXNA4,0.0176,pulmonary embolism
PAPPA,0.01756,thrombophilia
SDC1,0.01753,deep vein thrombosis
PRL,0.01747,thrombophilia
PADI4,0.01736,deep vein thrombosis
EGF,0.0173,deep vein thrombosis
CCL3,0.0172,deep vein thrombosis
APLN,0.01716,deep vein thrombosis
DHFR,0.017,deep vein thrombosis
KIR3DL1,0.017,thrombophilia
POMC,0.01694,thrombophilia
ITGA2,0.01688,thrombotic disease
RNPC3,0.01678,deep vein thrombosis
SIRT6,0.01677,deep vein thrombosis
PTGIR,0.01661,deep vein thrombosis
CTLA4,0.01655,thrombophilia
APOLD1,0.01653,deep vein thrombosis
SEMA7A,0.01643,deep vein thrombosis
S1PR2,0.01626,deep vein thrombosis
SMAD2,0.01626,deep vein thrombosis
TNFSF13B,0.01626,deep vein thrombosis
DSG1,0.01626,pulmonary embolism
MB,0.01622,deep vein thrombosis
TNFRSF1A,0.01614,deep vein thrombosis
APOM,0.0161,venous thromboembolism
ARL4A,0.01608,deep vein thrombosis
BAMBI,0.01608,deep vein thrombosis
IDH1,0.01603,venous thromboembolism
ACTA1,0.01595,deep vein thrombosis
ENG,0.01589,thrombotic disease
SRCIN1,0.01569,deep vein thrombosis
MAPK8,0.01564,deep vein thrombosis
CSGALNACT2,0.01552,deep vein thrombosis
AVP,0.01551,pulmonary embolism
HTR1B,0.01534,deep vein thrombosis
CXCL5,0.01532,deep vein thrombosis
P2RY1,0.01524,deep vein thrombosis
A2M,0.01522,deep vein thrombosis
APOC3,0.01512,venous thromboembolism
WAS,0.01507,thrombophilia
LDLR,0.01494,deep vein thrombosis
FGF1,0.01491,deep vein thrombosis
OTOR,0.01483,deep vein thrombosis
TNFRSF17,0.01478,deep vein thrombosis
RHO,0.01478,deep vein thrombosis
MALT1,0.01478,deep vein thrombosis
TNFAIP6,0.01478,deep vein thrombosis
TXK,0.01478,deep vein thrombosis
HBG1,0.01478,deep vein thrombosis
EIF4EBP1,0.01478,deep vein thrombosis
CDK4,0.01465,venous thromboembolism
SAA1,0.0146,venous thromboembolism
PGP,0.01435,venous thromboembolism
CAT,0.01433,thrombophilia
EPAS1,0.01423,deep vein thrombosis
SFTPC,0.01422,thrombophilia
GSDMD,0.0142,deep vein thrombosis
RBP4,0.01412,thrombophilia
STAT3,0.01407,deep vein thrombosis
ABCA13,0.01404,deep vein thrombosis
NEDD4,0.01404,deep vein thrombosis
HNF1B,0.01404,deep vein thrombosis
SLC15A4,0.01404,deep vein thrombosis
GHRL,0.01404,thrombophilia
IL27,0.01404,thrombophilia
HBG2,0.01393,deep vein thrombosis
TXNDC12,0.01386,deep vein thrombosis
ADRA2A,0.01386,thrombophilia
PLPBP,0.01386,thrombophilia
COX7C,0.01384,venous thromboembolism
ELAVL1,0.01367,deep vein thrombosis
AQP4,0.01367,venous thromboembolism
IL16,0.01362,deep vein thrombosis
MAPK1,0.01361,deep vein thrombosis
CCL5,0.01355,deep vein thrombosis
FH,0.01342,thrombophilia
SFTPB,0.01342,thrombophilia
LPL,0.01332,venous thromboembolism
HSP90AA1,0.0133,deep vein thrombosis
UBC,0.0133,deep vein thrombosis
ALOX15B,0.0133,deep vein thrombosis
CALM1,0.0133,deep vein thrombosis
KLRB1,0.0133,thrombophilia
HPN,0.01318,deep vein thrombosis
CYP1A1,0.01312,pulmonary embolism
VEGFB,0.01294,deep vein thrombosis
APOA4,0.01294,deep vein thrombosis
TNXA,0.01282,deep vein thrombosis
TFAM,0.01275,deep vein thrombosis
CSF2,0.01267,pulmonary embolism
CTSB,0.01265,deep vein thrombosis
GSK3B,0.01264,deep vein thrombosis
VCAN,0.01263,deep vein thrombosis
CA2,0.01257,deep vein thrombosis
KLK5,0.01257,deep vein thrombosis
PPIG,0.01257,venous thromboembolism
ITGB2,0.01256,deep vein thrombosis
DMD,0.01245,thrombophilia
HPSE,0.01242,thrombophilia
PCLAF,0.01221,deep vein thrombosis
THPO,0.0122,thrombophilia
MASP1,0.01218,deep vein thrombosis
EMILIN2,0.01217,deep vein thrombosis
ITGAM,0.01207,deep vein thrombosis
LINC00659,0.01206,deep vein thrombosis
CCL11,0.01201,deep vein thrombosis
SAMD1,0.01201,deep vein thrombosis
PDGFRA,0.01201,thrombophilia
NOTCH3,0.01201,thrombophilia
CPB2,0.01195,thrombotic disease
AHR,0.0119,deep vein thrombosis
FCGR2A,0.01188,deep vein thrombosis
BTK,0.01184,deep vein thrombosis
SLC39A11,0.01183,deep vein thrombosis
PRKAA2,0.01183,deep vein thrombosis
COXFA4,0.01183,venous thromboembolism
NDUFAB1,0.01183,venous thromboembolism
MEN1,0.01183,venous thromboembolism
EMB,0.01183,thrombophilia
CDH1,0.01181,deep vein thrombosis
TPR,0.01181,thrombotic disease
AFP,0.0118,deep vein thrombosis
SLAMF8,0.01164,deep vein thrombosis
SERPING1,0.01163,deep vein thrombosis
GP5,0.01159,deep vein thrombosis
GPX4,0.01154,deep vein thrombosis
SWAP70,0.01146,deep vein thrombosis
SPEF2,0.01146,deep vein thrombosis
CD28,0.01146,thrombophilia
RPLP2,0.01146,thrombophilia
CD274,0.01144,deep vein thrombosis
PEAR1,0.01142,deep vein thrombosis
SFTPD,0.01134,pulmonary embolism
PDLIM7,0.01127,deep vein thrombosis
LTF,0.01123,thrombophilia
HAMP,0.0112,deep vein thrombosis
VDR,0.01115,thrombophilia
RPS21,0.01109,deep vein thrombosis
ERO1A,0.01109,deep vein thrombosis
TH,0.01109,deep vein thrombosis
DSP,0.01109,deep vein thrombosis
EEF1D,0.01109,deep vein thrombosis
SLC6A3,0.01109,deep vein thrombosis
CCN5,0.01109,deep vein thrombosis
HOXD9,0.01109,deep vein thrombosis
AK4,0.01109,deep vein thrombosis
FOXJ2,0.01109,deep vein thrombosis
KRT6B,0.01109,deep vein thrombosis
LMNB1,0.01109,deep vein thrombosis
EPHB2,0.01109,deep vein thrombosis
EIF2AK2,0.01109,deep vein thrombosis
ABI3BP,0.01109,deep vein thrombosis
LGALSL,0.01109,deep vein thrombosis
CD84,0.01109,deep vein thrombosis
CASC2,0.01109,deep vein thrombosis
AIP,0.01109,pulmonary embolism
SREBF2,0.01109,thrombotic disease
BCR,0.01109,thrombophilia
GAD2,0.01109,thrombophilia
PNPLA3,0.01109,pulmonary embolism
MRC1,0.01107,thrombophilia
CTSG,0.01105,deep vein thrombosis
PIK3R2,0.01097,deep vein thrombosis
IFNA2,0.01096,deep vein thrombosis
ABL1,0.01091,deep vein thrombosis
TREM2,0.0109,pulmonary embolism
TYK2,0.01088,deep vein thrombosis
ACE2,0.01082,deep vein thrombosis
MAPK3,0.01082,deep vein thrombosis
ESM1,0.01072,deep vein thrombosis
CCR2,0.01072,thrombophilia
TRIM21,0.01072,venous thromboembolism
CEACAM8,0.0107,deep vein thrombosis
GTPBP1,0.01068,deep vein thrombosis
PGF,0.01061,thrombophilia
C1S,0.01059,thrombophilia
SST,0.01052,thrombophilia
HADHB,0.01052,thrombophilia
GNRH1,0.01052,deep vein thrombosis
TFPI2,0.01051,venous thromboembolism
POU2F3,0.01045,thrombophilia
IDH3A,0.01036,venous thromboembolism
B2M,0.01035,deep vein thrombosis
SULT1E1,0.01035,deep vein thrombosis
CYP2A6,0.01035,venous thromboembolism
ITPKC,0.01033,deep vein thrombosis
ROS1,0.01033,deep vein thrombosis
PON1,0.01033,deep vein thrombosis
IDH2,0.01032,deep vein thrombosis
ZNF85,0.01031,deep vein thrombosis
LRP8,0.01023,deep vein thrombosis
GAD1,0.01019,thrombophilia
TNIK,0.01016,thrombophilia
KLK4,0.01008,deep vein thrombosis
CD34,0.01006,thrombophilia
TAT,0.01001,deep vein thrombosis
TG,0.01001,deep vein thrombosis
GSR,0.00999,thrombophilia
GAS1,0.00998,deep vein thrombosis
GPR31,0.00998,deep vein thrombosis
ULBP2,0.00998,deep vein thrombosis
FGF9,0.00998,deep vein thrombosis
FGF6,0.00998,deep vein thrombosis
DKK4,0.00998,deep vein thrombosis
P2RX1,0.00986,deep vein thrombosis
PIK3CA,0.00985,deep vein thrombosis
PLAUR,0.0098,venous thromboembolism
TPH1,0.00976,thrombophilia
ELN,0.00972,thrombophilia
C9,0.00968,thrombophilia
HSPB1,0.00961,deep vein thrombosis
YBX1,0.00961,deep vein thrombosis
PPARGC1A,0.00961,deep vein thrombosis
HSPA1A,0.00961,deep vein thrombosis
MCL1,0.00961,deep vein thrombosis
VPS33B,0.00961,deep vein thrombosis
GPLD1,0.00961,thrombotic disease
TNFSF10,0.00961,thrombophilia
FIP1L1,0.00961,thrombophilia
SHOC2,0.00961,thrombophilia
RUNX1,0.0096,deep vein thrombosis
FXN,0.00957,thrombophilia
FMO5,0.00957,deep vein thrombosis
CD68,0.00954,deep vein thrombosis
TTR,0.00948,deep vein thrombosis
CD40,0.00948,deep vein thrombosis
ARG1,0.00942,deep vein thrombosis
TGFBI,0.00942,deep vein thrombosis
TNFRSF1B,0.00942,deep vein thrombosis
EZH2,0.00936,deep vein thrombosis
CEACAM5,0.00931,deep vein thrombosis
IRF8,0.00924,deep vein thrombosis
IRF5,0.00924,deep vein thrombosis
ACSF2,0.00924,deep vein thrombosis
HPS6,0.00924,thrombophilia
CASP8,0.00924,thrombophilia
DDIT3,0.00924,thrombophilia
LRP1,0.00924,venous thromboembolism
GZMB,0.00924,venous thromboembolism
FCGRT,0.00924,thrombophilia
ITK,0.00924,thrombophilia
TRPM2,0.00924,thrombophilia
VLDLR,0.00924,thrombophilia
IL12RB1,0.00924,thrombophilia
TRPV1,0.00924,thrombophilia
TNFRSF13B,0.00924,thrombophilia
GSTP1,0.00924,thrombophilia
SP1,0.00922,deep vein thrombosis
FGF23,0.00913,deep vein thrombosis
CXCL10,0.00911,deep vein thrombosis
ATM,0.00909,thrombophilia
XIAP,0.00906,thrombophilia
JAK3,0.00905,deep vein thrombosis
SMARCA5,0.00905,deep vein thrombosis
TLR7,0.00903,deep vein thrombosis
CFHR3,0.00902,thrombophilia
IFNB1,0.009,deep vein thrombosis
PRRT2,0.009,deep vein thrombosis
ELANE,0.00892,deep vein thrombosis
SCUBE1,0.00891,pulmonary embolism
MUC1,0.00888,deep vein thrombosis
IDO1,0.00887,deep vein thrombosis
MCHR1,0.00887,deep vein thrombosis
LPAR3,0.00887,deep vein thrombosis
NCAPG,0.00887,deep vein thrombosis
IDO2,0.00887,deep vein thrombosis
DLAT,0.00887,deep vein thrombosis
EMP2,0.00887,deep vein thrombosis
NCK1,0.00887,deep vein thrombosis
MAP3K3,0.00887,thrombotic disease
UGT1A1,0.00881,thrombophilia
BDNF,0.00875,thrombotic disease
MUC5AC,0.00869,thrombophilia
DNASE1,0.00867,deep vein thrombosis
IL22,0.00865,deep vein thrombosis
ERBB2,0.00865,venous thromboembolism
ANO6,0.00865,deep vein thrombosis
GYPA,0.00864,deep vein thrombosis
TAGLN,0.00856,deep vein thrombosis
MAEA,0.00854,thrombophilia
SHH,0.0085,deep vein thrombosis
VASP,0.0085,deep vein thrombosis
HSPB8,0.0085,pulmonary embolism
C3AR1,0.00848,deep vein thrombosis
SMAP1,0.00848,venous thromboembolism
MTOR,0.0084,deep vein thrombosis
IGHE,0.0084,pulmonary embolism
HLA-G,0.00832,deep vein thrombosis
KRT18,0.00832,deep vein thrombosis
NAMPT,0.00832,deep vein thrombosis
