gene,max_assoc_score,top_disease
STX2,0.28813,venous thromboembolism
GNPDA1,0.28809,deep vein thrombosis
DNAH17,0.28803,pulmonary embolism
TAGAP,0.28732,deep vein thrombosis
WNT9B,0.28676,thrombophilia
FADS2,0.28576,pulmonary embolism
CD247,0.28545,deep vein thrombosis
TBX19,0.28432,venous thromboembolism
SLC7A10,0.28376,deep vein thrombosis
SOX18,0.28354,pulmonary embolism
BCOR,0.28269,venous thromboembolism
ID2,0.28179,deep vein thrombosis
CHST1,0.28148,venous thromboembolism
AFAP1L1,0.28128,thrombophilia
TANGO6,0.28094,thrombophilia
ARHGAP15,0.28026,deep vein thrombosis
HMGCR,0.27993,venous thromboembolism
ZNF423,0.2788,venous thromboembolism
TCF7,0.27842,deep vein thrombosis
MECOM,0.27788,venous thromboembolism
GCKR,0.27786,venous thromboembolism
PCCB,0.27764,venous thromboembolism
CSGALNACT1,0.27704,venous thromboembolism
PNOC,0.27678,thrombophilia
ZDHHC12,0.27674,deep vein thrombosis
SLC15A2,0.27646,deep vein thrombosis
PDE11A,0.2732,venous thromboembolism
TMEM131L,0.27191,venous thromboembolism
CBX5,0.27005,deep vein thrombosis
FRMD4B,0.2698,thrombophilia
PSRC1,0.26947,venous thromboembolism
PLEKHO1,0.26947,deep vein thrombosis
GIPR,0.26934,venous thromboembolism
ADAMTS1,0.26848,thrombophilia
ICA1,0.26811,thrombophilia
SMAD3,0.26768,deep vein thrombosis
DYNLRB2,0.26733,thrombophilia
KIRREL3,0.26728,venous thromboembolism
ARHGEF28,0.26701,venous thromboembolism
PPIA,0.26634,thrombophilia
EIF4G3,0.2661,thrombophilia
ADO,0.26521,deep vein thrombosis
LBP,0.26519,thrombophilia
HEXIM1,0.26518,deep vein thrombosis
MARCHF1,0.26513,venous thromboembolism
LRRC55,0.26481,venous thromboembolism
LRAT,0.26421,venous thromboembolism
COL15A1,0.26376,deep vein thrombosis
RIMBP2,0.26317,thrombophilia
RCSD1,0.26272,venous thromboembolism
JAK1,0.26236,deep vein thrombosis
F7,0.26223,venous thromboembolism
NEK6,0.2619,deep vein thrombosis
ERCC3,0.26187,venous thromboembolism
BARHL1,0.26182,venous thromboembolism
KIF3C,0.26072,thrombophilia
CD200R1L,0.26015,deep vein thrombosis
TBXA2R,0.2595,thrombotic disease
EPOR,0.25948,deep vein thrombosis
TUBB2B,0.25871,deep vein thrombosis
TUBB6,0.25871,deep vein thrombosis
TUBB3,0.25871,deep vein thrombosis
TUBB4A,0.25871,deep vein thrombosis
TUBB4B,0.25871,deep vein thrombosis
TUBA3C,0.25871,deep vein thrombosis
TUBA4A,0.25871,deep vein thrombosis
TUBB8,0.25871,deep vein thrombosis
TUBA1C,0.25871,deep vein thrombosis
TUBA3E,0.25871,deep vein thrombosis
TUBB1,0.25871,deep vein thrombosis
TUBA1A,0.25871,deep vein thrombosis
TUBB,0.25871,deep vein thrombosis
TUBB2A,0.25871,deep vein thrombosis
TUBA1B,0.25871,deep vein thrombosis
SLC12A1,0.25871,pulmonary embolism
OR4C3,0.25867,thrombophilia
OR4C46,0.25849,venous thromboembolism
TMEM258,0.25828,venous thromboembolism
IL1R1,0.25767,venous thromboembolism
GFRA1,0.25714,thrombophilia
MSMB,0.25635,deep vein thrombosis
ACAD10,0.25595,venous thromboembolism
QNG1,0.25595,thrombophilia
OR4C45,0.25559,venous thromboembolism
TFPI,0.25557,venous thromboembolism
FUNDC2,0.25533,venous thromboembolism
HTR2A,0.25487,thrombophilia
CKAP5,0.2548,thrombophilia
PACSIN3,0.25445,deep vein thrombosis
PSG8,0.25387,venous thromboembolism
PRDM12,0.25377,thrombophilia
PIGU,0.25307,deep vein thrombosis
MEF2D,0.25288,venous thromboembolism
MYC,0.25261,deep vein thrombosis
MINDY4,0.2514,thrombophilia
CREG1,0.24924,venous thromboembolism
STX10,0.24838,venous thromboembolism
GRIN2B,0.24788,thrombophilia
SOX5,0.24788,thrombophilia
RAD51B,0.24725,deep vein thrombosis
SLC22A24,0.24701,thrombophilia
CELSR1,0.24701,thrombophilia
ROBO1,0.24695,deep vein thrombosis
PRKG1,0.24695,venous thromboembolism
NRG3,0.24695,thrombophilia
GRM8,0.24695,thrombophilia
LRP1B,0.24695,thrombophilia
GRID2,0.24695,thrombophilia
CSMD1,0.24695,thrombophilia
DCC,0.24695,thrombophilia
LRRC43,0.24693,deep vein thrombosis
UQCC1,0.24541,venous thromboembolism
EDA2R,0.2453,pulmonary embolism
PTGER4,0.24516,deep vein thrombosis
DNAI4,0.24441,deep vein thrombosis
OR4A47,0.24345,pulmonary embolism
ZNF652,0.24314,deep vein thrombosis
PAX7,0.24294,thrombophilia
SLC25A37,0.24294,venous thromboembolism
SPPL2C,0.24266,venous thromboembolism
CFAP61,0.24201,thrombophilia
RBFOX3,0.2415,thrombophilia
DAW1,0.24134,deep vein thrombosis
COPZ1,0.24099,deep vein thrombosis
TASOR,0.2403,deep vein thrombosis
SAP130,0.24028,deep vein thrombosis
FABP2,0.23985,pulmonary embolism
WWOX,0.23962,thrombophilia
ADCY10,0.23928,venous thromboembolism
HSP90B1,0.23899,venous thromboembolism
RORA,0.23872,deep vein thrombosis
EPHA5,0.23867,thrombophilia
RIMS2,0.23851,thrombophilia
BPIFC,0.2385,thrombophilia
RBFOX1,0.23669,pulmonary embolism
MYBPC3,0.23667,thrombophilia
HK1,0.23625,deep vein thrombosis
